listing_id,host_id,host_name,neighbourhood,neighbourhood_group,latitude,longitude,room_type,property_type,price,minimum_nights,maximum_nights,number_of_reviews,reviews_per_month,review_rate_number,availability_365,number_of_reviews_ltm,host_listings_count,host_is_superhost,instant_bookable,calculated_host_listings_count,last_review,license
8058,20016,Isha,Chattarpur,South Delhi,28.499979,77.168114,Private room,Apartment,9901.5,3,90,122,4.88,3.8,131,49,6.0,False,True,7,2022-12-24,
4588,13490,Divya,Rajouri Garden,West & North Delhi,28.652394,77.141485,Hotel room,Apartment,5453.79,2,90,102,12.0,4.6,139,31,1.0,False,True,1,2021-05-26,DL-MCD-106486
34,12010,Sameer,Chanakyapuri,Central Delhi,28.601395,77.206658,Entire home/apt,Apartment,95000.0,30,365,69,1.53,4.0,204,29,1.0,False,True,2,2023-01-02,
6389,13469,Ashok,Indirapuram,Ghaziabad,28.627415,77.37015,Hotel room,Condo,12429.81,15,90,69,3.45,3.8,223,27,1.0,True,True,1,2023-09-03,DL-MCD-513555
7195,11469,Rajesh,Sector 137 Expressway,Noida,28.508053,77.410568,Entire home/apt,Villa,9474.51,15,365,53,2.79,3.9,264,14,1.0,False,False,1,2024-07-27,
8378,10686,Kavita,Greater Noida (Pari Chowk),Greater Noida,28.472275,77.504742,Entire home/apt,Condo,15181.89,5,30,36,1.71,4.3,289,11,1.0,False,False,2,2023-02-23,DL-MCD-308460
4817,17351,Aarav,Defense Colony,South Delhi,28.565687,77.228079,Private room,Apartment,9946.33,15,30,87,3.35,3.9,191,22,1.0,False,True,2,2021-12-04,DL-MCD-234802
901,15218,Aarav,Golf Course Road (DLF 5),Gurugram,28.478632,77.091095,Private room,Apartment,9089.6,2,365,72,2.4,3.5,200,20,1.0,False,False,2,2021-10-19,DL-MCD-555666
766,13418,Tanvi,Hauz Khas Village,South Delhi,28.550478,77.205792,Entire home/apt,Apartment,23097.65,2,30,75,1.92,3.8,219,19,1.0,False,True,1,2022-12-08,DL-MCD-282178
7551,16270,Sameer,Dwarka,West & North Delhi,28.602402,77.039698,Shared room,Villa,1675.37,1,90,80,8.0,4.0,194,20,1.0,True,True,2,2024-10-24,
734,20353,Sunil,Chanakyapuri,Central Delhi,28.593175,77.192158,Entire home/apt,Apartment,14890.04,1,365,24,0.69,3.5,297,15,4.0,False,False,4,2021-04-08,DL-MCD-124739
5910,20362,Latika,Saket,South Delhi,28.520282,77.223314,Private room,Villa,6609.06,3,180,69,2.76,3.8,230,34,3.0,True,True,4,2022-08-21,DL-MCD-222476
569,15320,Kunal,Chanakyapuri,Central Delhi,28.601582,77.203001,Shared room,Apartment,5669.52,30,180,40,3.64,3.6,252,23,1.0,False,False,2,2023-08-18,DL-MCD-562744
1255,17929,Vikram,Greater Kailash,South Delhi,28.563602,77.249154,Hotel room,Builder Floor,18500.62,30,365,104,4.73,3.8,153,34,1.0,True,False,2,2023-03-22,DL-MCD-953435
9602,14065,Vandana,Vasant Kunj,South Delhi,28.532814,77.13373,Entire home/apt,Studio,11067.18,30,365,37,6.17,3.8,261,16,1.0,False,True,1,2023-09-27,DL-MCD-595952
3616,20192,Ashok,Sushant Lok,Gurugram,28.46942,77.088243,Private room,Studio,11271.34,2,30,18,0.62,3.4,327,8,6.0,True,True,7,2023-07-14,DL-MCD-925834
8354,14369,Vivek,Vasant Kunj,South Delhi,28.543321,77.142158,Entire home/apt,Townhouse,22169.77,3,30,66,6.0,4.7,216,38,1.0,True,True,1,2024-03-24,DL-MCD-270945
5318,11701,Ritu,Rajouri Garden,West & North Delhi,28.654057,77.125745,Entire home/apt,Villa,11382.64,2,365,77,,,204,40,1.0,True,False,1,2023-10-30,DL-MCD-836151
40,12345,Kabir,Sushant Lok,Gurugram,28.461919,77.079602,Private room,Builder Floor,7627.41,30,365,56,1.93,4.3,255,32,1.0,False,True,2,2022-04-20,
9202,11330,Smriti,Rohini,West & North Delhi,28.68732,77.13409,Entire home/apt,Villa,6871.57,3,365,52,7.43,4.4,280,15,1.0,False,False,2,2022-01-02,DL-MCD-522064
3393,17077,Ritu,Indirapuram,Ghaziabad,28.64348,77.367429,Entire home/apt,Apartment,6949.95,7,90,35,1.52,3.7,291,19,1.0,False,True,2,2024-10-28,
5441,20025,Simran,Saket,South Delhi,28.527811,77.212858,Private room,,10878.71,3,365,66,1.57,3.6,189,35,9.0,,False,10,2024-06-24,DL-MCD-242053
3929,11382,Aarav,Saket,South Delhi,28.523951,77.219791,Private room,Studio,6681.22,30,365,145,12.0,5.0,69,45,1.0,False,False,2,2023-06-20,DL-MCD-798524
1414,16832,Latika,Civil Lines,West & North Delhi,28.68214,77.228544,Private room,Serviced Apartment,6444.92,15,365,57,1.24,3.6,247,21,1.0,False,False,1,2023-04-17,DL-MCD-642530
5290,20031,Latika,Sector 29,Gurugram,28.45986,77.056796,Private room,Builder Floor,6650.15,5,365,83,,3.3,203,21,10.0,False,False,10,2023-09-26,DL-MCD-221765
9748,17956,Vandana,Dwarka,West & North Delhi,28.586344,77.048181,Entire home/apt,Apartment,9687.05,15,30,71,1.78,3.7,213,19,1.0,False,True,2,2023-09-23,DL-MCD-972800
9161,20051,Rishi,Connaught Place,Central Delhi,28.635407,77.221252,Entire home/apt,Farmhouse,12377.12,1,365,73,10.43,4.8,218,20,5.0,False,False,6,2024-10-23,DL-MCD-298706
5182,10001,Divya,Chanakyapuri,Central Delhi,28.603812,77.200704,Hotel room,Farmhouse,16121.85,5,90,49,1.2,3.5,264,30,1.0,False,True,2,2021-09-19,DL-MCD-207863
5124,16061,Neha,Cyber City,Gurugram,28.491321,77.081547,Entire home/apt,Farmhouse,13196.28,1,30,121,4.84,4.1,131,52,1.0,False,False,2,2024-07-11,
6422,10581,Sachin,Cyber City,Gurugram,28.489666,77.093544,Private room,Serviced Apartment,11045.36,2,30,79,4.94,4.0,182,19,,True,False,2,2023-07-20,
9437,11020,Tanvi,Green Park,South Delhi,28.568564,77.203354,Private room,Villa,5181.27,1,90,61,4.07,3.7,257,39,1.0,False,True,2,2023-09-26,DL-MCD-895972
3127,17300,Pooja,Cyber City,Gurugram,28.494224,77.09031,Entire home/apt,Builder Floor,32223.81,3,365,58,2.42,2.9,241,23,1.0,False,True,1,2022-10-20,DL-MCD-721591
8841,20290,Kabir,Vasant Kunj,South Delhi,28.523812,77.143853,Private room,Apartment,-1000.0,2,365,23,0.49,,305,11,6.0,False,True,6,2024-09-29,DL-MCD-893452
1958,13641,Priya,Greater Kailash,South Delhi,28.545676,77.243284,Entire home/apt,Villa,24841.97,5,180,88,2.44,4.0,177,33,1.0,False,True,1,2023-03-15,DL-MCD-771366
8970,12588,Gaurav,Cyber City,Gurugram,28.501658,77.0797,Private room,Condo,0.0,3,365,69,4.6,4.1,215,28,1.0,False,False,2,2024-10-21,DL-MCD-492964
1184,20284,Vishal,Vasant Kunj,South Delhi,28.538694,77.146797,Entire home/apt,Builder Floor,20524.03,1,365,106,2.52,3.9,170,47,6.0,False,False,7,2023-03-28,DL-MCD-738014
9104,20226,Naveen,Sector 18 Noida,Noida,28.568071,77.322363,Private room,Farmhouse,6892.96,1,365,101,6.73,4.0,127,45,9.0,False,True,9,2021-11-04,
4348,13685,Shreya,Aerocity (IGI Airport),West & North Delhi,28.549099,77.129717,Private room,Apartment,9477.33,7,365,98,,3.6,151,44,1.0,False,True,1,2022-07-27,DL-MCD-186506
252,20260,Isha,Aerocity (IGI Airport),West & North Delhi,28.551546,77.130889,Private room,Townhouse,16786.44,15,365,63,1.75,3.6,255,17,5.0,True,False,5,2023-05-24,DL-MCD-732383
1473,12758,Rahul,Greater Kailash,South Delhi,28.537198,77.246954,Private room,,9670.85,1,365,36,0.84,3.1,301,10,1.0,False,True,2,2021-07-02,DL-MCD-411371
6224,15209,Sunita,Saket,South Delhi,28.517833,77.231115,Private room,Apartment,7711.71,1,90,99,5.21,4.0,163,31,1.0,False,True,1,2024-04-22,DL-MCD-135477
5358,13639,Gaurav,Karol Bagh,Central Delhi,28.644641,77.190827,Shared room,Farmhouse,3879.74,1,365,74,6.17,3.6,226,30,1.0,True,True,1,2024-12-14,
97,13002,Neha,Chanakyapuri,Central Delhi,28.599239,77.21313,Entire home/apt,Villa,23685.13,15,180,90,2.25,3.3,171,48,1.0,True,True,1,2021-02-15,
7809,12371,Meera,Civil Lines,West & North Delhi,28.688797,77.222177,Entire home/apt,Condo,10055.11,30,90,110,8.46,4.6,159,68,1.0,False,False,1,2021-12-26,DL-MCD-810877
4793,11439,Smriti,Green Park,South Delhi,28.548927,77.210683,Entire home/apt,Villa,14817.3,7,365,153,12.0,5.0,101,94,1.0,False,True,1,2023-06-25,DL-MCD-773456
6484,20118,Kavita,Sector 18 Noida,Noida,28.573579,77.32354,Shared room,Apartment,1500.0,1,90,88,3.83,3.7,211,56,3.0,False,,4,2022-10-17,
4170,12048,Swati,Golf Course Road (DLF 5),Gurugram,28.48141,77.08144,Entire home/apt,,22553.5,15,180,111,,4.4,131,64,1.0,True,False,1,2022-03-23,DL-MCD-370569
2393,16103,Ritu,Connaught Place,Central Delhi,28.632572,77.213971,Entire home/apt,Studio,32198.49,2,365,81,2.61,4.1,208,31,1.0,False,True,2,2022-05-13,DL-MCD-815031
2445,11383,Akash,Golf Course Road (DLF 5),Gurugram,28.470744,77.106536,Private room,Serviced Apartment,8732.18,3,30,148,,4.8,94,90,1.0,False,False,2,2021-07-23,DL-MCD-351979
4885,20257,Sameer,Aerocity (IGI Airport),West & North Delhi,28.547344,77.135671,Entire home/apt,,18563.2,3,90,97,2.37,3.2,159,58,6.0,True,True,6,2021-08-16,
1609,16445,Kavita,Paharganj,Central Delhi,28.650618,77.217111,Entire home/apt,Builder Floor,7489.58,1,90,43,1.34,4.2,268,18,1.0,,True,1,2022-10-21,
108,20173,Simran,Green Park,South Delhi,28.55056,77.213483,Private room,Apartment,7692.22,1,180,77,2.57,4.1,218,49,3.0,True,,4,2023-02-26,
9878,17668,Gaurav,Aerocity (IGI Airport),West & North Delhi,28.546682,77.113182,Private room,Studio,0.0,5,180,27,,3.8,285,14,,False,True,1,2024-04-26,
1218,13786,Deepika,Cyber City,Gurugram,28.509995,77.091093,Private room,Apartment,14187.74,1,365,77,3.5,3.8,194,47,1.0,False,True,1,2024-12-07,DL-MCD-403699
7493,12461,Rohan,Sector 62 Noida,Noida,28.623781,77.357558,Entire home/apt,Apartment,8883.16,1,30,66,2.2,3.5,214,34,1.0,False,True,1,2023-10-28,
304,10388,Tanvi,Golf Course Road (DLF 5),Gurugram,28.472671,77.090321,Entire home/apt,Apartment,19859.77,5,365,98,6.12,4.3,150,34,1.0,False,False,1,2023-09-13,
9240,10200,Alok,Rohini,West & North Delhi,28.729798,77.121436,Private room,Apartment,5875.7,3,365,105,3.75,4.1,177,57,1.0,False,False,2,2022-05-19,
2475,20252,Smriti,Chanakyapuri,Central Delhi,28.591453,77.197593,Private room,Apartment,12211.97,1,90,104,,3.8,156,43,6.0,False,True,7,2022-06-24,DL-MCD-668613
2336,20112,Smriti,Sushant Lok,Gurugram,28.460352,77.093112,Private room,Builder Floor,7770.84,15,365,98,8.91,4.0,193,36,5.0,True,False,5,2021-01-22,DL-MCD-568279
1072,13932,Mohit,Sector 29,Gurugram,28.464532,77.076814,Entire home/apt,,9215.06,1,180,83,3.07,4.1,179,40,1.0,False,,1,2022-01-06,DL-MCD-652504
1513,10796,Rahul,Sector 29,Gurugram,28.465072,77.066027,Entire home/apt,Farmhouse,22172.57,1,180,110,4.23,3.7,155,51,1.0,False,False,2,2021-09-04,
170,17035,Kavita,Civil Lines,West & North Delhi,28.677909,77.243054,Entire home/apt,Apartment,7622.28,1,90,104,11.56,4.5,94,53,,False,True,1,2024-09-23,DL-MCD-840448
1627,20377,Sanjay,Chanakyapuri,Central Delhi,28.599046,77.19819,Private room,Serviced Apartment,8647.36,1,365,104,3.25,3.6,185,55,7.0,False,True,8,2024-08-03,DL-MCD-225689
6005,20245,Gaurav,Hauz Khas Village,South Delhi,28.543353,77.210441,Entire home/apt,,14707.14,2,90,23,1.44,4.2,312,12,5.0,False,True,5,2024-11-02,DL-MCD-914240
5326,11652,Siddharth,Saket,South Delhi,28.526033,77.219364,Entire home/apt,Builder Floor,10356.17,2,365,95,4.32,4.3,211,35,1.0,False,True,1,2021-10-09,
577,13720,Smriti,Dwarka,West & North Delhi,28.5865,77.042339,Entire home/apt,Villa,14178.65,30,30,85,1.85,3.6,209,23,1.0,False,True,1,2023-07-04,DL-MCD-194919
4048,14699,Preeti,Green Park,South Delhi,28.549809,77.207518,Entire home/apt,Apartment,13768.55,1,180,91,8.27,4.4,150,43,1.0,False,True,2,2021-11-10,DL-MCD-358318
8753,12131,Sneha,Sector 137 Expressway,Noida,28.502755,77.396974,Private room,Builder Floor,8241.56,7,180,83,3.19,4.0,184,51,1.0,False,True,1,2021-09-19,
8141,20157,Deepika,Chattarpur,South Delhi,28.516266,77.184484,Hotel room,Villa,17476.73,2,365,75,10.71,5.0,189,27,5.0,False,False,6,2024-08-04,
6146,20233,Tarun,Sohna Road,Gurugram,28.399447,77.043734,Entire home/apt,Builder Floor,18608.54,1,365,81,2.02,3.9,219,49,,True,False,7,2022-04-28,DL-MCD-339916
1651,15621,Sneha,Green Park,South Delhi,28.571527,77.201536,Shared room,Apartment,4472.88,2,365,50,1.61,3.9,260,13,1.0,False,,2,2024-05-06,DL-MCD-966071
7518,16357,Meera,Sushant Lok,Gurugram,28.463151,77.072247,Shared room,Apartment,3126.4,15,90,65,3.82,3.6,238,36,1.0,False,True,2,2023-10-27,DL-MCD-297740
1731,16130,Smriti,Civil Lines,West & North Delhi,28.679337,77.234066,Private room,Condo,5819.96,3,30,65,,4.6,214,18,1.0,False,True,2,2024-08-08,
8601,11118,Sneha,Cyber City,Gurugram,28.503686,77.074685,Entire home/apt,Apartment,11426.68,1,180,97,2.11,3.5,167,45,1.0,False,False,1,2024-04-24,DL-MCD-230838
7064,12202,Sunil,Greater Kailash,South Delhi,28.555629,77.261506,Private room,Builder Floor,4145.63,5,180,102,5.37,3.9,154,33,1.0,False,True,1,2021-09-15,
5285,10079,Deepika,Vasant Kunj,South Delhi,28.53086,77.153838,Entire home/apt,Apartment,6331.93,2,180,74,1.61,3.5,236,38,1.0,False,True,2,2023-10-23,DL-MCD-365809
9730,13566,Ashok,Civil Lines,West & North Delhi,28.674278,77.223674,Entire home/apt,Apartment,11953.45,2,365,95,5.28,3.9,187,50,1.0,False,True,2,2021-10-13,DL-MCD-481386
7741,16174,Naveen,Golf Course Road (DLF 5),Gurugram,28.47585,77.099975,Entire home/apt,Studio,32919.69,1,365,106,,3.8,141,47,1.0,False,True,1,2023-11-29,DL-MCD-876463
322,16496,Ashok,Golf Course Road (DLF 5),Gurugram,28.45958,77.099937,Private room,Villa,95000.0,2,365,72,2.67,3.6,205,26,1.0,False,False,1,2021-11-26,
9024,12529,Priya,Golf Course Road (DLF 5),Gurugram,28.46833,77.100724,Hotel room,Serviced Apartment,20487.83,15,365,75,1.74,3.8,203,45,1.0,True,True,1,2023-12-20,DL-MCD-833321
2192,16447,Priya,Cyber City,Gurugram,28.490229,77.089186,Private room,Apartment,9144.17,2,90,78,7.09,4.1,226,41,1.0,True,False,1,2024-05-08,DL-MCD-728778
4152,10345,Kunal,Cyber City,Gurugram,28.488089,77.10207,Shared room,Condo,4880.96,1,365,57,5.18,3.6,231,26,1.0,False,True,1,2024-05-14,DL-MCD-608931
2974,16986,Meera,Rajouri Garden,West & North Delhi,28.660415,77.11286,Entire home/apt,Studio,9068.96,2,180,121,3.56,3.5,172,52,1.0,False,True,2,2022-04-18,DL-MCD-274900
7876,10415,Mayank,Saket,South Delhi,28.52395,77.224872,Private room,Condo,9128.51,3,365,48,1.45,3.9,281,26,1.0,False,True,1,2022-02-09,
2488,13666,Kunal,Sector 137 Expressway,Noida,28.50881,77.411641,Entire home/apt,Builder Floor,5922.71,7,365,49,,4.1,258,18,1.0,False,False,1,2022-03-10,
7672,10639,Rishi,Vasant Kunj,South Delhi,28.526862,77.159802,Private room,Farmhouse,350000.0,7,180,37,1.68,,285,16,1.0,False,False,1,2021-08-15,
501,16247,Mayank,Sector 18 Noida,Noida,28.575863,77.340595,Private room,Villa,11061.2,1,365,88,2.84,,162,32,1.0,False,True,2,2021-04-05,DL-MCD-882419
938,20189,Abhishek,Greater Kailash,South Delhi,28.531112,77.24242,Private room,Apartment,9190.99,3,30,135,3.65,3.9,115,78,3.0,True,True,3,2021-04-15,
2626,13129,Pranav,Paharganj,Central Delhi,28.629142,77.216124,Entire home/apt,Apartment,11488.41,1,365,103,2.71,3.9,144,33,1.0,False,True,2,2022-01-27,DL-MCD-487889
4605,14454,Naveen,Sushant Lok,Gurugram,28.453507,77.081709,Entire home/apt,Apartment,22501.13,1,180,109,7.27,4.6,155,38,1.0,True,True,2,2021-02-23,DL-MCD-159245
6018,20269,Meera,Greater Noida (Pari Chowk),Greater Noida,28.481161,77.50995,Private room,Builder Floor,3946.55,7,180,59,5.9,3.9,232,32,10.0,True,False,11,2023-03-19,DL-MCD-393857
4788,20369,Deepa,Sector 62 Noida,Noida,28.616262,77.353203,Entire home/apt,Serviced Apartment,10521.8,3,180,45,2.25,3.4,260,21,7.0,True,True,8,2021-09-28,
440,20221,Swati,Sector 29,Gurugram,28.467066,77.047131,Entire home/apt,Apartment,14106.18,1,180,75,,3.8,237,29,4.0,False,True,5,2024-10-23,DL-MCD-458000
7552,15939,Kabir,Sushant Lok,Gurugram,28.458908,77.063316,Entire home/apt,Apartment,15147.09,15,365,124,3.18,3.9,106,70,1.0,False,True,1,2024-12-15,
625,12960,Sameer,Indirapuram,Ghaziabad,28.633295,77.38298,Entire home/apt,Villa,6671.69,1,365,133,10.23,,105,54,1.0,False,True,2,2022-08-31,DL-MCD-890786
1509,14758,Vandana,Defense Colony,South Delhi,28.57895,77.235171,Private room,Apartment,16079.58,5,365,109,3.89,3.9,142,60,1.0,True,False,2,2024-10-31,DL-MCD-370087
9346,17018,Sunita,Cyber City,Gurugram,28.492165,77.10157,Private room,Apartment,9345.83,1,365,77,5.92,4.1,209,31,1.0,False,False,1,2022-10-01,
8766,16992,Rishi,Paharganj,Central Delhi,28.639489,77.204716,Entire home/apt,Serviced Apartment,5649.83,3,30,132,3.88,3.7,142,49,1.0,False,False,2,2021-09-28,DL-MCD-170774
2535,12499,Smriti,Rohini,West & North Delhi,28.728843,77.111128,Entire home/apt,,5454.78,3,365,99,6.6,4.5,188,43,,False,False,2,2023-03-16,
8889,14951,Siddharth,Sector 62 Noida,Noida,28.614269,77.363372,Entire home/apt,Apartment,8749.16,7,365,75,2.5,3.7,204,48,1.0,False,True,1,2024-10-10,DL-MCD-784090
656,13451,Amit,Connaught Place,Central Delhi,28.622591,77.214095,Private room,Builder Floor,8418.41,30,365,93,2.58,,183,53,1.0,False,False,2,2022-10-10,DL-MCD-694651
3413,17493,Arjun,Golf Course Road (DLF 5),Gurugram,28.465428,77.093945,Entire home/apt,Builder Floor,25981.21,2,90,76,,4.1,199,39,,False,False,2,2023-02-03,DL-MCD-635958
7355,15898,Mohit,Golf Course Road (DLF 5),Gurugram,28.468555,77.093832,Private room,Builder Floor,11706.43,5,365,78,4.11,4.6,231,36,1.0,False,False,2,2024-04-11,
519,16463,Karan,Hauz Khas Village,South Delhi,28.553354,77.191033,Private room,Farmhouse,8883.0,1,30,82,2.0,3.7,166,23,1.0,False,,1,2021-10-21,
4990,16120,Ananya,Greater Kailash,South Delhi,28.55751,77.23321,Shared room,Builder Floor,5208.94,5,365,42,6.0,4.6,279,15,1.0,False,False,1,2021-01-20,
347,10735,Vishal,Civil Lines,West & North Delhi,28.67378,77.222317,Entire home/apt,Serviced Apartment,9695.59,1,365,118,12.0,5.0,145,73,,True,True,2,2021-11-28,DL-MCD-408025
5131,14823,Divya,Chattarpur,South Delhi,28.502422,77.177235,Private room,,10305.32,5,30,95,3.52,4.0,175,56,1.0,False,True,2,2024-03-19,DL-MCD-842429
2305,12310,Siddharth,Paharganj,Central Delhi,28.646944,77.207757,Private room,Studio,4257.02,1,90,18,1.0,3.7,314,5,1.0,False,False,2,2024-09-24,DL-MCD-898061
2139,20348,Vivek,Sector 62 Noida,Noida,28.606438,77.364632,Entire home/apt,Builder Floor,11627.03,1,365,82,1.86,4.0,207,44,6.0,False,False,6,2021-07-10,
316,20032,Komal,Connaught Place,Central Delhi,28.626983,77.209427,Entire home/apt,Builder Floor,20493.28,1,30,83,9.22,4.5,188,22,7.0,True,False,8,2021-08-12,DL-MCD-220718
9364,20238,Payal,Golf Course Road (DLF 5),Gurugram,28.459617,77.096185,Entire home/apt,,28935.03,2,180,78,4.33,4.1,195,26,6.0,True,False,6,2024-01-30,DL-MCD-914475
674,12054,Mohit,Sushant Lok,Gurugram,28.446297,77.077417,Private room,Builder Floor,6217.41,1,365,57,1.73,3.2,244,16,1.0,False,False,1,2021-12-14,
2997,14950,Kavita,Sohna Road,Gurugram,28.404051,77.048225,Hotel room,Apartment,6934.61,3,90,99,2.75,3.9,160,37,1.0,False,False,2,2021-03-12,DL-MCD-683215
9639,12647,Nikhil,Sector 29,Gurugram,28.479549,77.065229,Entire home/apt,Builder Floor,13877.9,1,180,82,1.86,4.2,215,22,1.0,False,False,1,2022-11-25,DL-MCD-649334
3353,20154,Naveen,Hauz Khas Village,South Delhi,28.552707,77.203792,Hotel room,Apartment,12647.81,3,30,115,3.97,4.1,134,50,5.0,False,True,5,2023-07-19,
484,12488,Sanjay,Connaught Place,Central Delhi,28.64629,77.217599,Private room,Farmhouse,9727.55,5,365,82,4.82,,212,31,1.0,False,True,1,2024-04-06,DL-MCD-263346
1684,15742,Preeti,Chattarpur,South Delhi,28.495946,77.181465,Hotel room,Studio,9653.34,2,365,70,1.79,,209,42,,False,True,2,2024-05-12,DL-MCD-241879
8883,14986,Tanya,Sohna Road,Gurugram,28.379044,77.039024,Entire home/apt,Builder Floor,13039.59,1,90,105,3.62,4.2,159,47,1.0,False,True,1,2022-06-15,DL-MCD-296622
9051,16180,Pooja,Greater Kailash,South Delhi,28.536278,77.235292,Private room,Apartment,9304.13,30,365,98,4.26,3.6,162,45,,False,True,1,2022-07-19,DL-MCD-162234
7611,13867,Pooja,Sector 62 Noida,Noida,28.624601,77.364181,Private room,Apartment,3656.17,15,365,85,3.4,3.9,193,41,1.0,False,,1,2022-03-28,DL-MCD-321126
8912,12306,Kavita,Golf Course Road (DLF 5),Gurugram,28.470945,77.096123,Entire home/apt,Apartment,20694.4,30,180,55,1.45,3.8,275,17,1.0,False,True,2,2021-05-10,DL-MCD-232356
1124,12830,Sanjay,Vasant Kunj,South Delhi,28.530424,77.153467,Entire home/apt,Apartment,11742.75,7,365,86,1.95,3.2,215,27,1.0,False,False,2,2022-09-12,DL-MCD-741110
